Date,Open,High,Low,Close,Adj Close,Volume
Aug 16 2019,43.33,44.45,43.20,43.99,43.99,25492500
Aug 15 2019,44.17,44.31,42.31,43.13,43.13,40798000
Aug 14 2019,46.24,46.30,43.34,43.92,43.92,47813000
Aug 13 2019,45.76,47.20,45.51,47.00,47.00,24240500
Aug 12 2019,46.60,47.15,45.75,45.80,45.80,23319500
Aug 09 2019,47.21,47.79,46.76,47.00,47.00,19491000
Aug 08 2019,46.89,47.96,46.53,47.66,47.66,26371500
Aug 07 2019,45.30,46.71,45.16,46.68,46.68,23882500
Aug 06 2019,46.38,46.50,45.15,46.15,46.15,27821000
Aug 05 2019,45.92,46.27,45.16,45.66,45.66,35141500
Aug 02 2019,46.27,47.25,45.85,46.87,46.87,30682500
Aug 01 2019,48.53,48.90,46.35,46.77,46.77,41297500
Jul 31 2019,48.60,49.34,47.33,48.32,48.32,45891000
Jul 30 2019,46.58,48.67,46.44,48.45,48.45,40545000
Jul 29 2019,45.42,47.19,45.21,47.15,47.15,46366500
Jul 26 2019,45.38,46.05,44.45,45.61,45.61,50138500
Jul 25 2019,46.70,46.90,45.11,45.76,45.76,112091500
Jul 24 2019,51.83,53.21,51.63,52.98,52.98,55364000
Jul 23 2019,51.34,52.10,50.90,52.03,52.03,25115500
Jul 22 2019,51.75,52.43,50.84,51.14,51.14,34212000
Jul 19 2019,51.14,51.99,50.92,51.64,51.64,35242000
Jul 18 2019,51.01,51.15,50.38,50.71,50.71,23793000
Jul 17 2019,51.13,51.66,50.67,50.97,50.97,48823500
Jul 16 2019,49.86,50.71,49.59,50.48,50.48,40745000
Jul 15 2019,49.60,50.88,48.97,50.70,50.70,55000500
Jul 12 2019,47.95,49.08,47.94,49.02,49.02,46002500
Jul 11 2019,47.63,48.30,47.16,47.72,47.72,37572000
Jul 10 2019,46.83,47.79,46.63,47.78,47.78,45728500
Jul 09 2019,45.79,46.20,45.46,46.01,46.01,30954000
Jul 08 2019,46.25,46.45,45.73,46.07,46.07,29402500
Jul 05 2019,46.91,47.09,46.16,46.62,46.62,35328500
Jul 03 2019,47.88,48.31,46.90,46.98,46.98,71005500
Jul 02 2019,45.78,45.83,44.44,44.91,44.91,46295000
Jul 01 2019,46.04,46.62,45.26,45.43,45.43,41067000
Jun 28 2019,44.20,45.03,44.16,44.69,44.69,34257000
Jun 27 2019,43.89,44.58,43.47,44.57,44.57,31698500
Jun 26 2019,44.06,45.45,43.62,43.85,43.85,42536000
Jun 25 2019,44.88,45.07,43.90,43.95,43.95,30910500
Jun 24 2019,44.65,45.17,44.20,44.73,44.73,28754000
Jun 21 2019,43.24,44.44,43.10,44.37,44.37,41010500
Jun 20 2019,44.60,45.38,43.27,43.92,43.92,59317500
Jun 19 2019,45.02,45.55,44.21,45.29,45.29,32875500
Jun 18 2019,45.74,46.95,44.51,44.95,44.95,63579000
Jun 17 2019,43.10,45.40,42.85,45.01,45.01,61584000
Jun 14 2019,42.25,43.33,42.08,42.98,42.98,37167000
Jun 13 2019,42.08,42.98,41.50,42.78,42.78,40841500
Jun 12 2019,44.59,44.68,41.80,41.85,41.85,75987500
Jun 11 2019,43.83,44.18,42.70,43.42,43.42,58267500
Jun 10 2019,42.05,43.39,41.80,42.58,42.58,52925000
Jun 07 2019,41.00,42.17,40.70,40.90,40.90,80017500
Jun 06 2019,40.89,42.20,40.36,41.19,41.19,101211000
Jun 05 2019,39.74,40.26,38.37,39.32,39.32,67554000
Jun 04 2019,36.22,38.80,35.92,38.72,38.72,69037500
